קוד חשבון,שם,עיר או שכונה,רחוב,טלפון בעבודה,סיווג לקוח,תאריך יצירה
5051681,"איקו בריאות בע""מ",,,,,24/08/2021
5051682,אס.בי.אנג'י,,,,,25/08/2021
5051683,"אר.אפ אופטיק בע""מ",,דרך בית ספר 1,,,25/08/2021
5051684,"רושדי תעשיות מזון בע""מ",,אזור תעשייה אלון תבור,,,30/08/2021
5051686,"מדיקה אקסל אלישע בע""מ",,,,,01/09/2021
5051687,"היפרטרוניקס בע""מ",,משה גושן 8,04-8711121,,01/09/2021
5051688,"מימד מדיקל בע""מ",,תאנה 232 מושב אורה ,02-6431523,,02/09/2021
5051689,"פ.ס.י מכשור ובקרת תהליך בע""מ",,רח' האבץ 2 (בתוך אינטל),,,12/09/2021
5051690,אילומיג'ין,,,,,13/09/2021
5051691,"תרוליף מדיקל בע""מ",,"רחוב האשל 2, פארק תעשיה דרומי קיסריה,   ",,,14/09/2021
5051692,"ג.א שרותי השחזה ב""מ",,היוזמים 13 אור יהודה,,,19/09/2021
5051693,"לייף אסיסטנט בע""מ",,חרוד 8,,,22/09/2021
5051694,"מגניסיטי בע""מ",,בניין 10 קמפוס מילקין אוניברסיטת אריאל ,,,29/09/2021
5051695,CONTAZARA TRANSITO,,Carretera de Castellon .Km 55 La Cartuja 50720 Zaragoza Espana. ,,,29/09/2021
5051696,ג.ה.דורון בעמ,,נחל קרת 127,,,29/09/2021
5051697,"כ.ג. אוטומציה בע""מ",,הברוש 60,,,30/09/2021
5051698,"קורולבס בע""מ",,התעשיה 5,,,03/10/2021
5051699,גבעטק,,אזור תעשייה סגולה ,,,04/10/2021
5051700,מלי בר שירה,,,,,04/10/2021
5051701,"אקסווינסיס פיתוח טכנולוגי בע""מ",,המחקר 6,,,04/10/2021
5051702,אלתיאה מדיקל,,"אוניברסיטת אריאל, בניין 10",,,04/10/2021
5051703,אי.וי.אר מוטורס,,,,,05/10/2021
5051704,"טולפוינט בע""מ ",,,,,06/10/2021
5051705,"Shenzhen Richen Industry Co.,Ltd",,"Room 320, 3F., International Trade Centre, 11-19 Sha Tsui Road, Tsuen Wan, N.T., Hong Kong.",86 755 86655579,,11/10/2021
5051706,"או-מד מדיקל בע""מ",,,,,11/10/2021
5051707,"עמיעד טכנולוגיות מתכת בע""מ",,משה בורנשטיין 55,04-8210641,,11/10/2021
5051708,"ש.שסטוביץ בע""מ",,"רחוב אלון תבור 10 א""ת דרומי קסריה",,,12/10/2021
5051709,G.I.E EXPERT,,Saint NICHOLAS Str.# 3                 BEIT JALA                 PALESTINE  ,,,12/10/2021
5051710,מ.ט.א טכנולוגיות מיחזור,,פארק התעשיה מישור אדומים,,,13/10/2021
5051711,פלקסטרוניקס ישראל מרכז,,,,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",13/10/2021
5051712,"מובילי המרכז כוכב בע""מ",,,,,13/10/2021
5051713,"יונה ורדים בע""מ",,,,,17/10/2021
5051714,"אסטיאקסאי הנע בע""מ",,יגיע כפיים  21 ד ,074-7776899,,18/10/2021
5051715,"פיזיקל לוג'יק בע""מ",,בן ציון גליס 48 ,03-5708188,,19/10/2021
5051716,"ש.ב. אביב חברה לסחר ושרותים בע""מ",,"רח' רמב""ם 6, ",09-7410742,,20/10/2021
5051717,Ormatec LLC,,,+1 (954) 854-0073,,25/10/2021
5051718,"שלמה החרט בע""מ",,רח. פרידלנדר 12 אזור התעשיה ,,,26/10/2021
5051719,אבי סומך סלטי בוטיק,,"שביל המפעל 4 ת""א ",,,28/10/2021
5051720,מ.ה.ד.ר אלקטרוניקה,,שלמה בן יוסף 25 חיפה ,,,28/10/2021
5051721,הדייקן חידוש ושיפוץ מנועי רכב  ,,"קרית אריה רחוב שנקר 26 פינת ניסין פ""ת",,,31/10/2021
5051722,"אקולין ביודיזל בע""מ",,,,,31/10/2021
5051723,אסם חשבון מרכז,,,,,01/11/2021
5051724,שטראוס חשבון מרכז,,,,,01/11/2021
5051725,EXERION PRECISION TECHNOLOGY,,Exerion Precision Technology Olomouc s.r.o. Lipenska 1170/45 779 00 Olomouc Czech Republic ,,,01/11/2021
5051726,"מתן טכנולוגיות בע""מ ",,רחוב פרת 2 יבנה,,,03/11/2021
5051727,"סמדר טכנולוגיות 2014 החדשה בע""מ",,החרש 8 נס ציונה,,,03/11/2021
5051728,"מוסלם תעשיות בע""מ ",," השיש 8 ,   א.ת. דרומי",04-6560481,,04/11/2021
5051729,שלמה כהן ,,שדה ורבורג ,,,04/11/2021
5051730,אבישי ברם ,,,,,09/11/2021
5051731,"המגשר בע""מ",,"רחוב ספיר , פינת שפירא – אולם 17-א א.ת. מערב ראשון לציון",03-9514923,,11/11/2021
5051732,"מימד מתכת בע""מ",,רחוב שפירא 4 ראשון לציון,03-5590095,,11/11/2021
5051733,"ניב חריטות אוטומטיות בע""מ",,המסגר 9 מפרץ,04-8723133,,11/11/2021
5051734,"רוטל טכנולוגיות בע""מ.",,,,,11/11/2021
5051735,קבוצת עמל,,מחנה בן עמי,,,14/11/2021
5051736,חברת קנאסול שירותי מעבדה,,יושבים במפעל קרונוס בקיבוץ גן שמואל,,,17/11/2021
5051737,Mercon Sp.zoo,,,,,22/11/2021
5051738,"גולדשטיין שירותי תברואה בע""מ",,,,,22/11/2021
5051739,גלוסי אקספרס לצבע אלומניום,,,,,23/11/2021
5051740,"לומניס בי בע""מ",,הקידמה 6,04-9599000,,24/11/2021
5054432,"פיליפס מדיקל בע""מ",חיפה,"מת""מ תד 325",04-8310820,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5055207,"אספן נדל""ן בע""מ",תל אביב יפו,דניאל פריש 3 תל - אביב,,,29/11/2018
5060000,"תפנפלסט בע""מ",תפן,תד 25,04-9872589,תעשיה כימית,29/11/2018
5060001,"מיסטרל דיטקשן בע""מ",הרצליה,משכית6 הרצליה תד 4133,09-9568212,,29/11/2018
5060002,סולומון את ססבון תעשי,אור עקיבא,האילן 18 א.ת.צ. עקיבא,04-6263990,,29/11/2018
5060003,א.י.י.ר כלים לעיבוד מתכת,קרית ביאליק,"החרושת 43 א""ת  תד 1470",04-8760203,סוחר,29/11/2018
5060004,מירי ברכה,אבן יהודה,אהבת ציון 10,09-8997655,,29/11/2018
5060005,"כפרית תעשיות בע""מ",כפר עזה,קיבוץ כפר-עזה,08-6809574,,29/11/2018
5060006,"מאפיות שלמה א. אנג'ל בע""מ",,,,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5060007,"פרי השכרת רכב בע""מ",תל אביב יפו,"המסגר 32 ת""א",03-6882222,,29/11/2018
5060008,"סוגת  תעשיות בע""מ",קרית גת,שבט 5    תד 55,08-6875777,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5060009,שיא מגופים,ראש פינה,ת.ד. 63 ראש פינה תד 63,04-6914222,,29/11/2018
5060010,אביב תעשיות מיחזור,רמת חובב,רמת חובב,08-6573223,תעשיה כימית,29/11/2018
5060011,"פולקובסקי בע""מ",יבנה,תד 13127,08-9427525,,29/11/2018
5060012,מגדל אור,קרית חיים,קרית חיים,04-8721345,,29/11/2018
5060013,"בונפיל בע""מ",משמר השבעה,מושב משמר השבעה 45,03-9601799,,29/11/2018
5060014,סולומון יפה תאטרון לי,מיתר,דרך הבשור 56 מיתר,08-6517555,,29/11/2018
5060015,"היי-טק פרינט בע""מ",,החופר 34 חולון,03-5560226,,29/11/2018
5060016,מכון התקנים הישראלי,תל אביב יפו,חיים לבנון 42,03-6465154,שירותים,29/11/2018
5060017,"וינטר מכשירי גז בע""מ",חולון,המשביר 20 א.ת.חולון,03-5587841,,29/11/2018
5060018,"אלנדב בע""מ-לא לשימוש -ראה",אשדוד,תד 12190,08-8567721,,29/11/2018
5060019,דינמיק פילטריישן סיסטם בע,שדרות,בריסל 7  א.ת. תד 452,08-6893580,,29/11/2018
5060020,"דניה קוסמטיקס בע""מ",נתניה,הכדר 16,09-8820647,,29/11/2018
5060021,"תעשיות תרמוקיר בע""מ",חורשים,ק. חורשיםד.נ.השרון התי,03-9386300,,29/11/2018
5060022,"שמיר סופרטכנולוגיה בע""מ",,המשביר 21,03-5617319,,29/11/2018
5060023,מור תעשיות פלסטיק בעמ,שדרות,א.ת.ח. ת.ד. 352 שדרות,08-6624333,תעשיה כימית,29/11/2018
5060024,שיטות סימון והחתמה בע,כפר סבא,"התע""ש 28 אזה""ת כפ""ס",09-7677677,,29/11/2018
5060025,פלטכניקה ניצנים אגודה שית,ניצנים,קיבוץ ניצנים,08-6772025,,29/11/2018
5060026,"אר-אל עיבוד שבבי בע""מ",מעלות,א.ת. מעלות ת.ד.200,04-9978670,,29/11/2018
5060027,"אקרשטיין תעשיות בע""מ",ירוחם,תד 257,08-6598444,,29/11/2018
5060028,"דומא אופטרוניקה בע""מ",נשר,הזית 1 נשר מרכז אורן,04-8200577,,29/11/2018
5070000,קונטרול,חיפה,ת.ד. קריית שמואל,054-351113,,29/11/2018
5070001,א.מ.ת מיזוג אויר וקיר-לא,חיפה,תד 7240,04-8263223,,29/11/2018
5070002,כללית הנדסה רפואית בע,אור יהודה,יוני נתניהו 1/ג תד 730,03-5389527,שירותים,29/11/2018
5070003,"סטטי טק בע""מ",יבנה,תד 152,03-9603834,,29/11/2018
5070004,מרכז הפלסטיקה והגומי לישר,חיפה,קרית הטכניון,04-8222124,,29/11/2018
5070005,מפעליבורסת היהלומים,רמת גן,"זבוטינסקי 3 ר""ג",053-976603,,29/11/2018
5070007,"קפה לחמי בע""מ",נהריה,ת.ד719. נהריה תד 719,04-9521215,,29/11/2018
5070008,א. כהן אחזקה,מיתר,קדש ברנע 29 מיתר,054-252404,,29/11/2018
5070009,גבעת חיים איחוד/הודיה,גבעת חיים איחוד,ד.נ. עמק חפר,04-6369561,,29/11/2018
5070010,"ניגי -צינורות מלוטשים בע""",פתח תקוה,גיסין 69 ק. אריה תד 10095,03-9247811,,29/11/2018
5070011,המדחס,רעננה,א.ת רעננה תד 2294,09-7461126,,29/11/2018
5070012,"טורבוכרום בע""מ",קרית גת,הבונים 4 תד 143,08-6603001,תעשיית הרכבת והאוויר,29/11/2018
5070013,א.ו.ב.א מהנדסים,מגדל העמק,פ. התעשיות מ העמק תד 690,04-6449000,,29/11/2018
5070014,מיגל-מכון למחקר מדעי בגלי,קרית שמונה,א.ת.דרומי ק. שמונה תד 831,04-6953515,,29/11/2018
5070015,"קונסטנטין את אטש בע""מ",קרית ביאליק,"החרושת 20/2א""ת תד 1307",04-8746074,יצרן ציוד ומיכון,29/11/2018
5070016,(גל-אל (ממיק,,שד' יצחק הנשיא 100אשדו,08-8572436,,29/11/2018
5070017,עלוטק  מערכות מיחשוב,עלומים,קיבוץ עלומים ד.נ.הנגב,08-9937134,,29/11/2018
5070018,לא פעיל,חדרה,יוסף מייזר,04-6349349,,29/11/2018
5070019,סי.אס.טי.אי- נסגר,קרית גת,אשלגן 4,08-6602108,,29/11/2018
5070020,אגם מערכות מיזוג אויר,ראשון לציון,"ההגנה 28 ראשל""צ",03-9419363,יצרן ציוד ומיכון,29/11/2018
5070974,וול טו דו  (חממה טכנולוגי,נתניה,הצורן 8 א מתחם D,,,29/11/2018
5080982,"מורקס 71 בע""מ",אבן יהודה,האלה 25,050-4886485,,29/11/2018
5083388,בני מאירי,ראש העין,שילה 76,0722-115596,,29/11/2018
50930386,"אור-נים מדיקל בע""מ",כפר סבא,עתיר ידע 15,09-9282801,,29/11/2018
50931036,"ה.ג.ס.ב. ציפויים בע""מ",דליה,,04-9937719,,29/11/2018
5093389,"פ.ב.מ חומרים מרוכבים בע""מ",קרית גת,האשלגן 11 תד 8626,08-8609040,תעשיית הרכבת והאוויר,29/11/2018
5093419,"אומריקס ביופרמצבטיקה בע""מ",ירושלים,קרית המדע 5 הר חוצבים,,,29/11/2018
5093966,"חקלאות סעד אגש""ח בע""מ",סעד,ד.נ. הנגב,08-9800381,,29/11/2018
5099999,הפרשה לחובות מסופקים,,,,,29/11/2018
51,ציון רון,יבנה,תלתן 74 ב',050-7851044,,29/11/2018
510532120,מרקורי מוצרי מדע ותעשיה ב,ראש העין,העבודה 12,03-9387164,,29/11/2018
511192502,יהודה פינקו בניין ופיתוח,קרית מוצקין,,052-5919351,,29/11/2018
5114000,שקים שחזרו,,,,,29/11/2018
511525438,"אלפיטל בע""מ",חולון,הלהב 6 ביתן 220 א.ת,03-5587370,,29/11/2018
5120008,א.א.רם אחזקה ואויר דחוס ב,פרדס חנה כרכור,נעורים 1,04-6377329,שירותים,29/11/2018
5120009,אוניברסיטת בן גוריון / 91,באר-שבע,שדרות בן גוריון 1,08-6563502,שירותים,29/11/2018
5120017,אוניברסיטת תל אביב,תל אביב יפו,תד 39040,03-6406760,שירותים,29/11/2018
5120018,"אבגול תעשיות 1953 בע""מ",דימונה,"פליקס זנדמן 1 א""ת צפוני",03-9061555,תעשיה כימית,29/11/2018
5120019,אבי אב מדחסי אויר בעמ,חדרה,"ת""ד 2055 חדרה תד 2055",04-6322656,שירותים,29/11/2018
5120021,"תעשיות אבן וסיד בע""מ",זכרון יעקב,תד 31,04-6390730,,29/11/2018
5120022,אי.די.אס. למינאר,עמק חפר,גשר העצ א.ת. עמק חפר,04-6247330,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5120027,"א.ד. המדחס שכטר בע""מ",חיפה,יוסף לוי 13 מפרץ חיפה,04-8722242,שירותים,29/11/2018
5120029,"איוורור והנדסה חיפה בע""מ",חיפה,יוסף לוי 18 תד 10400,04-8411110,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5120032,און הנדסת מזוג אויר,ראשון לציון,סחרוב 11,03-9632774,,29/11/2018
5120033,"א.נ. אופק בע""מ",כפר טרומן,כפר טרומן ת.ד .99 תד 99,03-9711120,,29/11/2018
5120034,"אורבונד תעשיות גבס בע""מ",עפולה,תד 2328,04-6521141,יצרן חומרי בניה,29/11/2018
5120037,אורניב מדחסי אויר,חדרה,ים-סוף 4 חדרה,,שירותים,29/11/2018
5120040,"אסטראטק בע""מ",חדרה,תד 3245,04-6120022,שירותים,29/11/2018
5120042,ארז קרור הנדסה יצור שירות,קרית ביאליק,"יוסף לוי 48 א""ת תד 1468",04-8787672,,29/11/2018
5120045,א.ש.ל .רן ועודד אספקה טכנ,חולון,הסדנא 14 את חולון,03-5594984,,29/11/2018
5120049,"אגרוטופ בע""מ",תימורים,תד 150,08-8611600,,29/11/2018
5120057,"אוריה חשמל ותאורה בע""",באר שבע,הנפח 3 עמק שרה,08-6231091,,29/11/2018
5120060,אלגאטכנולוג'יס(1998),קטורה,קיבוץ קטורה ד.נ.חבל איל,08-6356425,,29/11/2018
5120066,"אינטרפארם בע""מ",יבנה,הקישון 18,08-9382424,,29/11/2018
5120068,"ארדן פרוייקטים בע""מ",נתניה,הגביש 4 תד 8647,09-8931111,,29/11/2018
5120073,אקולב,הרצליה,ניסנוב 1,09-9558707,,29/11/2018
5120078,ארז מוצרים תרמופלסטים,אשקלון,"קבוצ ארז ד""נ חוף אשקלון",08-6801200,,29/11/2018
5120079,"אורי פתרונות לול בע""מ",קרית שמונה,תד 868,04-6954681,,29/11/2018
5120080,"אורן ציוד חימום בע""מ",ירושלים,אהליאב 14,02-5006100,יצרן ציוד ומיכון,29/11/2018
5120081,"אוריס ק.ס תעשיות בע""מ",ראשון לציון,"אליהו איתן 3, בית גירון",03-9613322,יצרן ציוד ומיכון,29/11/2018
5120082,"אמפרוקו בע""מ",אשקלון,הנפח 28,08-6780852,,29/11/2018
5120086,אביחי ציוד צביעה והתזה בע,פתח תקוה,תד 10043,03-9221306,,29/11/2018
5120089,"אריאל את ברגר בע""מ",חדרה,הרברט סמואל 93 חדרה,04-6322781,,29/11/2018
5120090,אפסק הנדסת חשמל,באר שבע,הדגן 11 תד 10150,08-6280223,,29/11/2018
5120092,"איכות בע""מ",ראשון לציון,"הפרח 89 ראשל""צ",050-311175,,29/11/2018
5120094,"אינסופקו בע""מ",יבנה,הירקון 40 תד 143,08-9420080,,29/11/2018
5120099,"אקודיק בע""מ",יגור,בניין מס' 1 קומה 2,04-8380338,,29/11/2018
5120100,בג פולימרים,בית גוברין,קבוץ בית גוברין דנ לכיש,08-6874236,,29/11/2018
5120101,בר-אל מדחסים,פרדס חנה כרכור,המגינים 14 כרכור תד 736,050-5275586,שירותים,29/11/2018
5120104,ביו טכנולוגיה כללית (ישרא,קרית מלאכי,באר טוביה תד 571,08-8612020,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120107,"ש.ברגר ובנו בע""מ",קיסריה,תד 3040,04-6277877,,29/11/2018
5120109,"ט.ברקה בע""מ",חולון,הכישור 26 א.ת תד 1006,03-5599070,,29/11/2018
5120112,"טנובה טכנ' מתקדמות בע""מ",יקנעם עילית,התנופה 13,04-9599888,,29/11/2018
5120113,"בלאס צבי ושות' בע""מ",ראשון לציון,משה בקר 17  תד 15253,03-9643848,,29/11/2018
5120114,בית חולים וולפסון,חולון,הלוחמים  62 תד 5,03-5028599,,29/11/2018
5120115,מרכז רפואי אסף הרופא,צריפין,,08-9779510,,29/11/2018
5120120,בית חולים מאיר,כפר סבא,טשרניחובסקי 57 כפר-סבא,09-7472265,,29/11/2018
5120121,"ביוואק בע""מ",אור עקיבא,תד 300,04-6266772,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5120122,בידר אריה -לא לשימוש,פתח תקוה,שנקר 26 תד 3809,03-9214135,,29/11/2018
5120123,מ.רבין-קמפוס-גולדה לט לשי,פתח תקוה,"קק""ל 7",03-9372284,,29/11/2018
5120124,בית חולים סורוקה,באר שבע,תד 151,08-6403212,שירותים,29/11/2018
5120125,בית חולים איכילוב,תל אביב יפו,ויצמן 6,03-6973294,,29/11/2018
5120126,בית חולים פלימן,חיפה,זלמן שניאור תד 2236,04-8307030,,29/11/2018
5120128,ברן הקמת פרוייקטים,עומר,עומרים 8 א.ת עומר,08-6200274,,29/11/2018
5120129,"ליקורד ביו בע""מ",יבנה,תד 344,073-2327503,,29/11/2018
5120200,גשן מהנדסים -הנדסת מיזוג,ירושלים,הרכבים 3 תד 53214,02-6782335,,29/11/2018
5120205,גת-גבעת חיים אגודה שיתופי,גבעת חיים מאוחד,קיבוץ גבעת-חיים,04-6368860,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120206,"ג'יפיטק בע""מ מערכות",תל חנן,החרושת 3 תד 442,04-8200337,שירותים,29/11/2018
5120207,"י.ו. גליל הנדסה בע""מ",רמת ישי,"א""ת רמת-ישי תד 210",04-9837428,,29/11/2018
5120209,גל-קור,רמת גן,ז'בוטינסקי 78 רמת גן,03-6730135,,29/11/2018
5120210,דלתא גליל תעשיות,כרמיאל,תד 137,04-9903823,,29/11/2018
5120301,דלק,נתניה,גבורי ישראל 7  נתניה,09-8638555,,29/11/2018
5120302,ד. סער הנדסת מזוג אויר בע,פתח תקוה,המפלסים 10 תד 10096,03-9249728,,29/11/2018
5120303,דוקור חברה להנדסה בעמ,נתניה,המלאכה 8 א.ת חדש תד 8253,09-8659861,,29/11/2018
5120304,"דור שיווק והספקה בע""מ",כפר בילו,"כפר ביל""ו משק 6",08-9492034,,29/11/2018
5120305,"דור כימיקלים בע""מ",חיפה,קצנשטיין 18 תד 10036,04-8465000,שירותים,29/11/2018
5120309,"דקסל בע""מ",אור עקיבא,"א""ת  תד 50",04-6364000,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120310,"דגון בתי ממגורות בע""מ",חיפה,"ת""ד 407 ככר פלומר חיפה",04-8664221,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120313,"דג סוף בע""מ",אילת,מרינה אילת 88000,08-6370776,,29/11/2018
5120315,דורון חוטמן מיזוג אוי,כפר סבא,תד 2441,09-7665086,,29/11/2018
5120401,הסתדרות מדיצינית הדסה,ירושלים,קרית הדסה תד 12000,02-6776682,,29/11/2018
5120402,החברה המרכזית להפצת משקאו,בני ברק,כהנמן 129 תד 555 ,03-6712222,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120405,מוסד הטכניון למחקר ופיתוח,חיפה,קרית הטכניון חיפה,04-8292575,,29/11/2018
5120407,האוניברסיטה  העברית - י-ם,ירושלים,גבעת-רם,02-6584133,שירותים,29/11/2018
5120409,החברה לטכנו אויר דחוס P.A,אלישמע,משק 47 תד 1152,09-7409913,שירותים,29/11/2018
5120411,החברה לשרותי איכות,באר שבע,רמת חובב תד 5743 ב. שבע,08-6503700,תעשיה כימית,29/11/2018
5120506,"וי.פי.סי בע""מ",ראשון לציון,תד 5125,03-9628568,,29/11/2018
5120600,"זיוון מכשור ובקרה  בע""מ",קרית אתא,בצרי 34,04-8729822,,29/11/2018
5120701,חברת החשמל לישראל-אורות ר,חדרה,מחסן אורות רבין תד 10,04-8182222,,29/11/2018
5120702,"חרות הנדסה ומערכות בע""מ-ל",ראשון לציון,תד 5222,03-9532020,,29/11/2018
5120703,"חרושת בע""מ",רחובות,פ.ברגמן 2 פ.רבין רחובות,08-9467070,,29/11/2018
5120706,"חגי תעשיות חשמל בע""מ",הרצליה,תד 12517,09-9561340,,29/11/2018
5120709,"חברת שרות קרור בע""מ פוגל",ראשון לציון,תד 5100,03-9612370,שירותים,29/11/2018
5120710,"חשמל קור פ.ז בע""מ",אשדוד,המדע 11/60 אשדוד,08-8569393,,29/11/2018
5120800,"טכנובר בע""מ",ראשון לציון,לזרוב 10 תד 5141,03-9632333,,29/11/2018
5120802,"טית בית תעשיות מזון בע""מ",אשדוד,א.ת הד הלום  תד 3093,08-8547547,,29/11/2018
5120804,"טבע תעשיות פרמצבטיות בע""מ",כפר סבא,רח' השקמה  תד 353,09-7648297,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5120807,"טחנת קמח ""מפרץ"" בע""מ",חיפה,שד' ההסתדרות 235,04-8415224,,29/11/2018
5120810,"טכנו אב מדחסים בע""מ",חורשים,ד.נ שרון התיכון תד 20 4586500,03-9028470,שירותים,29/11/2018
5120814,טכנו הנדסה,מודיעין,,09-7727745,,29/11/2018
5120900,אלקטרה י.ב אחזקת מערכות ב,קדרון,"א""ת כנות תד 888",08-8683888,,29/11/2018
5120904,יוניק הנדסה ומיזוג או,צור יגאל,"גרניט 3 א""ת תד 13201",09-7498707,,29/11/2018
5120906,יפה הוד,גן יבנה,קבוצת יבנה ד.נ אבטח,08-8574167,,29/11/2018
5120907,י.א.מ מרכז הקור-לא פעיל,חיפה,שד' הציונות 20 חיפה,04-8514065,,29/11/2018
5120910,"ישראפלו בע""מ",אבן יהודה,תד 3171,09-8910650,,29/11/2018
5120911,"ידע פיקוד ובקרה בע""מ",קרית אתא,דרך חיפה 27,04-8728822,שירותים,29/11/2018
5120913,יו. סי. לייזר,כרמיאל,מעלה כמון 44 את9 כרמיאל,04-9582887,,29/11/2018
5121006,"ווייבלנגת' אנטרפרייזס בע""",באר שבע,תד 3593,08-6509111,תעשיה כימית,29/11/2018
5121008,"כור מתכת מעבדות בע""מ",חולון,האופן 1,073-2604444,,29/11/2018
5121009,כל בו קרור-ממן (1991),חיפה,תד 1304,04-8643366,,29/11/2018
5121010,כצט תעשיות כימיות,קרית מלאכי,הקידמה 3 את ק. מלאכי,08-8607600,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5121101,"ליא בע""מ הנדסה הידראוליק",לוד,"א""ת הצפוני בית פסח-לב  9",073-2570000,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5121102,לוינשטיין ונטה הנדסת,רמלה,"רח' העבודה א""ת רמלה",08-9207004,,29/11/2018
5121103,לביא הנדסת אויר בעמ,קרית עקרון,תד 27 קרית עקרון תד 27,08-9418788,,29/11/2018
5121105,"למינר-עו""ד חיים הלפרי",תל אביב יפו,תד 3377,03-5242511,,29/11/2018
5121106,"לוכסמבורג תעשיות בע""מ",ערד,הקודחים 29 תד 205,03-7964300,,29/11/2018
5121108,"ל.א. הנדסה ויעוץ בע""מ",אבן יהודה,האלה 25 תד 2907,09-8996544,,29/11/2018
5121200,"מנדלסון תשתיות ותעשיות בע""מ",קרית אתא,תד 232,04-8464999,סוחר,29/11/2018
5121203,"ש.ק מק""מ הנדסה בע""מ",באר שבע,המכונאי 9 עמק שרה תד 2019,08-6271512,,29/11/2018
5121205,מ.ג עבודות בניה וצנרת,ירושלים,הרכבים 4 תלפיות ים,02-6799305,,29/11/2018
5121209,"מנורז בע""מ",חולון,הגביש 8,03-6509090,,29/11/2018
5121210,מ.ב.א. הזורע טכנו' כי-לא,הזורע,קיבוץ הזורע,04-9592464,,29/11/2018
5121214,"אלקון-ממב מכשירי בקרה בע""",יבנה,תד 13146,08-9433630,יצרן ציוד ומיכון,29/11/2018
5121216,"מאפיית אגמי בע""מ",קיסריה,הטוחן 27 פארק תע קיסריה,04-6276644,,29/11/2018
5121217,"מחצבי אבן בע""מ",חיפה,תד 532,04-8522266,,29/11/2018
5121221,מרכז האוטומציה-לא בשימוש,,חלוצי התעשיה 49 מ.חיפה,04-8428818,,29/11/2018
5121224,"מרכז רפואי רבין בי""ח בלינ",פתח תקוה,קמפוס בילינסון,03-9376076,שירותים,29/11/2018
5121228,מכון ז'בוטינסקי,תל אביב יפו,המלך ג'ורג' 38 תל-אביב,03-5287320,,29/11/2018
5121229,"מיכשור ופיקוד (א.ד.) בע""מ",קרית שמונה,"א""ת תד 333",04-6944088,סוחר,29/11/2018
5121235,"מעבדות רפא בע""מ",ירושלים,רח' תובל 2 רוממה תד 405,02-5488222,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5121236,מרשל איזוטופים,ק.מלאכי,א.ת. באר-טוביה תד 21154,08-8506504,,29/11/2018
5121237,"מקסימה המרכז להפרדת אוויר בע""מ",,"א""ת רמת חובב",03-7534222,תעשיה כימית,29/11/2018
5121245,מתח-ליפוף ותיקון מנוע,חיפה,יוסף לוי 18 חיפה,04-8722530,,29/11/2018
5121246,"מאפיות שלמה א. אנג'ל בע""מ",לוד,רבי אליעזר בן הורקנוס 3 א,02-6580555,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5121247,מרכז שניידר לרפואת יל,פתח תקוה,קפלן 14 פתח תקוה,03-9253799,,29/11/2018
5121249,"מיתקונים בע""מ",ראשון לציון,"פריימן יעקב 20 ראשל""צ",03-9565979,,29/11/2018
5121254,"מ.א הנדסה וייעוץ בע""מ",קרית ביאליק,החרושת 43 קרית ביאליק,04-8740718,,29/11/2018
5121256,מדחסים וצנרת לאוירלא לשימ,חולון,הפלד 40 חולון,03-5508260,,29/11/2018
5121258,מוזיאון ישראל,ירושלים,תד 71117,02-6708881,,29/11/2018
5121261,מייזנר ברן,מגדל העמק,המדע 1,04-6448135,,29/11/2018
5121263,מפעלי חמצן וארגון,קיסריה,"חבצלת החוף 4 א""ת תד 3159",04-6174500,תעשיה כימית,29/11/2018
5121264,מדחס קור אוניברסל בע,ראשון לציון,"שלמה בן-דוד 2 א""ת ראשלצ",03-9640386,,29/11/2018
5121300,"נילית בע""מ",מגדל העמק,דרך מאוריציו לוי תד 276,04-6544666,תעשיה כימית,29/11/2018
5121302,נץ פרויקטים - לא לשימוש,נשר,תד 123 נשר תד 123,04-8202148,,29/11/2018
5121304,"ניב תעשיות מיזוג אויר בע""",באר שבע,שורק 16 ,08-6273933,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5121305,"נשר מפעלי מלט בע""מ- לא לש",בית שמש,ת.ד64. בית שמש,02-9901222,,29/11/2018
5121306,"נוטרילאב בע""מ",פרדס חנה כרכור,כפר פינס דאר כרכור,04-6277155,,29/11/2018
